Nama_Obat;HPP;Stock
VIT C 1000 COLLAGEN SACHET@6;8.631,00;6,00
TOLAK ANGIN BATUK @5 SACHT;3.618,88;10,00
MANICURE SET + WADAH HITAM;48.500,00;2,00
SOY JOY ALMOND CHOCOLATE;8.378,33;0,00
MULTI TISSUE @160S;7.600,00;0,00
NUFACE SUN PROTECT CR SPF 30 TONE UP;35.899,99;0,00
HERBORIST LLR CHOCOLATE 100GR;18.649,11;1,00
NIVEA OIL& ACNE CARE MICELLAR 125 ML;29.970,00;0,00
ALTAMED MEDICAL WOUND PLASTER;34.814,04;0,00
JEPIT RAMBUT;2.000,00;24,00
ONDANSETRON 4MG TAB GBER ASK;1.554,00;0,00
LIFREE CELANA TIPIS L8;66.656,61;2,00
FIESTA INTIM COOL GEL 70ML;44.400,00;1,00
GPU CREAM PALA 60GR;8.799,64;0,00
NATRACARE TAMPONS SUPER PLUS;152.058,00;0,00
FAMILY DR ANKLE BLACK L;112.000,11;0,00
SHICK EXACTA 2 REG;13.300,02;0,00
EMBALASE VAL;0,00;-147,00
MITU BABY FNC BLUE WIPES 10;5.883,00;0,00
HERBORIST GEL RASP & TOMATO 80ML;14.649,96;0,00
CBD COLLAGEN REPAIR SHAMPO 250ML;47.149,47;3,00
SAFE CARE LEMONGRASS 10ML;11.455,20;2,00
PERAWATAN KUKU LENGKAP MANICURE;11.000,00;0,00
GUNTING KUKU;7.500,00;18,00
BAYGON AE LAVENDER 200ML;18.337,20;0,00
CUSSON BABY WIPES FRESH & NOURISH @45 SHT;6.666,00;0,00
SOFFEL LOT KOREAN SUMMER 60 GR;9.679,20;0,00
EMBALASE DOL;181.485,00;-66,00
GARNIER MICELLAR SALICYLIC BLUE 125 ML;32.745,00;0,00
HANSAPLAST PLESTER BEKAS LUKA @21 LEMBAR;315.852,72;1,00
BALI DANCE AROMATHERPY LAVENDER 10 ML;44.799,60;2,00
ALKOHOL SWAB SENSI;13.764,00;0,00
SOYJOY KURMA NASTAR;8.378,00;3,00
SUTRA TISU PLUS;10.689,00;3,00
INAVITAMAX C VITA @30;190.000,00;1,00
NYU BURGUNDY CREME HAIR COLOR;14.300,00;0,00
GATSBY SPIKY 75GR;18.800,00;0,00
MANICURE SET 7 IN 1;42.500,00;0,00
SOY JOY LEKKER N NUTS;8.378,00;0,00
BALI ALUS HAIR VITAMIN VCO ARGAN 30ML;42.000,00;0,00
NUFACE SUN PROTECT CR SPF 50;59.900,04;0,00
NATURAL AFTER TATTO BALM HEALING @15 GR;19.847,60;0,00
HANSAPLAST AQUA PROTECT XL;41.399,67;7,00
HERBORIST LLR BENGKOANG 100GR;18.649,11;2,00
IKAT RAMBUT LABUBU;2.500,00;2,00
LIFREE CELANA TIPIS L4;44.212,41;4,00
DUREX INVISIBLE KONDOM @10;140.437,32;0,00
FIESTA FUN PACK 5+1 PCS;19.980,00;5,00
VASELINE LIP THERAPY ORI 4,8GR;24.719,89;0,00
FAMILY DR ANKLE BLACK M;112.000,11;0,00
MITU BABY AS GREEN WIPES 45;13.300,02;0,00
NUFACE NUGLOW YOUTHFUL SERUM 20ML;40.262,75;3,00
CBD COLOR SHIELD CONDITION 250ML;40.900,17;1,00
SAFE CARE EUCALIPTUS 10ML;12.350,97;1,00
BALI DANCE MASSAGE OIL LMONGRS;43.799,49;2,00
BAYGON AE ORANGE BLOSSOM 200ML;21.100,00;0,00
CUSSON BABY WIPES SOFT & SMOOTH @10 SHT;6.000,00;0,00
NICORETTE FRESHMINT GUM 4 MG;59.940,00;3,00
GUNTING KERTAS LADUPOP;9.000,00;9,00
GARNIER MICELLAR PINK+ECOPADS 125ML;32.745,00;0,00
LOREAL ELSEVE HYALURON PURE SHAMPO @200 ML;27.084,00;0,00
BALI DANCE AROMATHERPY JASMINE 10 ML;44.799,60;2,00
SOYJOY OPEN SESAME;8.378,00;3,00
NYU CREME HC BLACK;14.300,00;0,00
ALAT PENCETAN JERAWAT KOMEDO;3.500,00;0,00
POCARI SACHET;1.650,87;135,00
BALI ALUS HAIR VITAMIN FRANGIPANGI ARGAN 30ML;46.620,00;2,00
